HstNummer;Name mit Ort;Name ohne Ort;Ort;GKZ;Globale ID;Tarifgebiete;MVTT X;MVTT Y;WGS84 X;WGS84 Y,,,
1;Karlsplatz (Stachus);Karlsplatz (Stachus);München;9162000;de:09162:1;1;4467751;826449;48,13916696;11,56524034,
2;Marienplatz;Marienplatz;München;9162000;de:09162:2;1;4468673;826758;48,13643422;11,57765115,
3;Isartor;Isartor;München;9162000;de:09162:3;1;4469056;827043;48,13388994;11,58281763,
4;Rosenheimer Platz;Rosenheimer Platz;München;9162000;de:09162:4;1;4469877;827637;48,12858746;11,59388958,
5;Ostbahnhof;Ostbahnhof;München;9162000;de:09162:5;1,2;4470634;827691;48,12813726;11,60406235
6;Hauptbahnhof;Hauptbahnhof;München;9162000;de:09162:6;1;4467444;826320;48,14031142;11,56110561,
7;Hackerbrücke;Hackerbrücke;München;9162000;de:09162:7;1;4466528;825956;48,14353731;11,54876929,
8;Donnersbergerbrücke;Donnersbergerbrücke;München;9162000;de:09162:8;1,2;4465474;826046;48,14267154;11,53461386
9;Laim;Laim;München;9162000;de:09162:9;2,3;4463134;825977;48,14316061;11,50316564
